"Cluster","Keywords","Count"
"Entertainment Seekers","80's",1
"Entertainment Seekers","American treasure",1
"Entertainment Seekers","B-movie",2
"Entertainment Seekers","Halloween",1
"Entertainment Seekers","Looney Tunes",1
"Entertainment Seekers","Mystery Science Theater",1
"Entertainment Seekers","Sci-Fi",1
"Entertainment Seekers","Woody Allen",1
"Entertainment Seekers","a little romance",1
"Entertainment Seekers","accessible",1
"Entertainment Seekers","action",22
"Entertainment Seekers","action adventure",1
"Entertainment Seekers","action and suspense",1
"Entertainment Seekers","action classic",1
"Entertainment Seekers","action film",1
"Entertainment Seekers","action flick",1
"Entertainment Seekers","action flicks",1
"Entertainment Seekers","action hero",1
"Entertainment Seekers","action movie",1
"Entertainment Seekers","action packed",4
"Entertainment Seekers","action sequences",1
"Entertainment Seekers","action-adventure",1
"Entertainment Seekers","action-heavy",10
"Entertainment Seekers","action-packed",2
"Entertainment Seekers","action-scenes",1
"Entertainment Seekers","adult films",1
"Entertainment Seekers","adventure",7
"Entertainment Seekers","adventures",1
"Entertainment Seekers","all ages",1
"Entertainment Seekers","amazing",1
"Entertainment Seekers","amazing adventure",1
"Entertainment Seekers","amazing fight scenes",1
"Entertainment Seekers","amazing mix",1
"Entertainment Seekers","ambitious",1
"Entertainment Seekers","amusing",10
"Entertainment Seekers","amusing idea",1
"Entertainment Seekers","amusing jokes",1
"Entertainment Seekers","amusing special effects",1
"Entertainment Seekers","animated",2
"Entertainment Seekers","animated comedy",1
"Entertainment Seekers","animation",1
"Entertainment Seekers","animation effects",1
"Entertainment Seekers","atmosphere",2
"Entertainment Seekers","audacious",1
"Entertainment Seekers","awesome actors",1
"Entertainment Seekers","awesome performances",1
"Entertainment Seekers","backstage musical",1
"Entertainment Seekers","bad",1
"Entertainment Seekers","bad acting",1
"Entertainment Seekers","bad cinema",1
"Entertainment Seekers","bad films",1
"Entertainment Seekers","bad humor",1
"Entertainment Seekers","bad movie",4
"Entertainment Seekers","bad movies",2
"Entertainment Seekers","bad-assery",1
"Entertainment Seekers","bat-crap crazy",1
"Entertainment Seekers","battle of wits",1
"Entertainment Seekers","battle system",1
"Entertainment Seekers","battles",1
"Entertainment Seekers","beautiful cinematography",1
"Entertainment Seekers","beautifully designed",1
"Entertainment Seekers","best comedies",1
"Entertainment Seekers","bizarre",2
"Entertainment Seekers","blast",1
"Entertainment Seekers","blockbusters",1
"Entertainment Seekers","bloodbath",1
"Entertainment Seekers","bloody violence",1
"Entertainment Seekers","boring",4
"Entertainment Seekers","brainless",1
"Entertainment Seekers","brilliance",1
"Entertainment Seekers","brilliant",1
"Entertainment Seekers","brilliant screenplay",1
"Entertainment Seekers","brisk",1
"Entertainment Seekers","brutal western",1
"Entertainment Seekers","camp appeal",1
"Entertainment Seekers","campy",2
"Entertainment Seekers","cars",1
"Entertainment Seekers","cartoon",3
"Entertainment Seekers","catchy music",1
"Entertainment Seekers","chaos",2
"Entertainment Seekers","characters",1
"Entertainment Seekers","charm",1
"Entertainment Seekers","charm and delight",1
"Entertainment Seekers","charming",6
"Entertainment Seekers","cheer",1
"Entertainment Seekers","cheery",1
"Entertainment Seekers","cheesy fun",1
"Entertainment Seekers","child-like amazement",1
"Entertainment Seekers","classic",3
"Entertainment Seekers","classic scenes",1
"Entertainment Seekers","classic suspense",1
"Entertainment Seekers","clever",2
"Entertainment Seekers","clever humor",1
"Entertainment Seekers","clever writing",1
"Entertainment Seekers","colorful characters",1
"Entertainment Seekers","comedic",2
"Entertainment Seekers","comedic energy",1
"Entertainment Seekers","comedy",28
"Entertainment Seekers","comedy masterpiece",1
"Entertainment Seekers","comic book",1
"Entertainment Seekers","comic performance",1
"Entertainment Seekers","comic-book adventure",1
"Entertainment Seekers","comical",3
"Entertainment Seekers","comically charged",1
"Entertainment Seekers","compelling",1
"Entertainment Seekers","confused with enjoyment",1
"Entertainment Seekers","controversy",1
"Entertainment Seekers","cool",3
"Entertainment Seekers","cool cars",1
"Entertainment Seekers","cool flick",1
"Entertainment Seekers","cool movie",1
"Entertainment Seekers","cool plot",1
"Entertainment Seekers","creative dialog",1
"Entertainment Seekers","creep",1
"Entertainment Seekers","criminal hilarity",1
"Entertainment Seekers","cringe",1
"Entertainment Seekers","cult film",1
"Entertainment Seekers","cult movie",1
"Entertainment Seekers","cute",2
"Entertainment Seekers","cute movie",1
"Entertainment Seekers","damn entertaining",1
"Entertainment Seekers","dance competition",1
"Entertainment Seekers","dancing",1
"Entertainment Seekers","dark humor",1
"Entertainment Seekers","dark street fights",1
"Entertainment Seekers","delightful",4
"Entertainment Seekers","delightful comedy",1
"Entertainment Seekers","delightful holiday tale",1
"Entertainment Seekers","disappointed",1
"Entertainment Seekers","disguises",1
"Entertainment Seekers","disposable fun",1
"Entertainment Seekers","diversion",1
"Entertainment Seekers","down to earth",1
"Entertainment Seekers","drama",1
"Entertainment Seekers","easy gameplay",1
"Entertainment Seekers","effective storyline",1
"Entertainment Seekers","emotional",1
"Entertainment Seekers","enchanting viewers",1
"Entertainment Seekers","energetic",1
"Entertainment Seekers","energy",1
"Entertainment Seekers","engaging",1
"Entertainment Seekers","enjoy",6
"Entertainment Seekers","enjoyable",14
"Entertainment Seekers","enjoyable farce",1
"Entertainment Seekers","enjoyable interludes",1
"Entertainment Seekers","enjoyably silly",1
"Entertainment Seekers","enjoyed",4
"Entertainment Seekers","enjoyed the acting",1
"Entertainment Seekers","enjoyment",1
"Entertainment Seekers","entertain",1
"Entertainment Seekers","entertained",7
"Entertainment Seekers","entertaining",35
"Entertainment Seekers","entertaining performance",1
"Entertainment Seekers","entertainment",1
"Entertainment Seekers","entertainment qualities",1
"Entertainment Seekers","entertainment value",1
"Entertainment Seekers","entertains",2
"Entertainment Seekers","epic storyline",1
"Entertainment Seekers","escalating suspense",1
"Entertainment Seekers","escapist fun",1
"Entertainment Seekers","excellent",3
"Entertainment Seekers","excellent entertainment",1
"Entertainment Seekers","excellent film locations",1
"Entertainment Seekers","excellent movie",1
"Entertainment Seekers","excellent performing",1
"Entertainment Seekers","excellent story",1
